StopID_Route,WhiteAlone,BlackorAfricanAmericanAlone,AmericanIndianandAlaskaNativealone,AsianAlone,HawaiianPacificIslander,OtherRace,TwoPlusRaces,Owner occupied,Renter occupied,Age15to24,Age25to34,Age35to44,Age45to54,Age55to59,Age60to64,Age65to74,Age75to84,Age85andOver,tot_blk_area_sq_mi,areaPcBlockInStop
10-80,412.09173970454725,11.022359956819864,2.4772725657662495,144.78320870000812,0.9999658353262727,9.553752085635054,15.515606798111872,2.427354569542703,594.016551076672,524.3567062200766,56.23333597567474,5.7151980256109765,3.568349557151386,2.259631627030631,2.71193642412718,1.5987478165430908,0.0,0.0,0.172719,7.831497089409814
10-81,412.09173970454725,11.022359956819864,2.4772725657662495,144.78320870000812,0.9999658353262727,9.553752085635054,15.515606798111872,2.427354569542703,594.016551076672,524.3567062200766,56.23333597567474,5.7151980256109765,3.568349557151386,2.259631627030631,2.71193642412718,1.5987478165430908,0.0,0.0,0.172719,7.831497089409814
10-82,412.09173970454725,11.022359956819864,2.4772725657662495,144.78320870000812,0.9999658353262727,9.553752085635054,15.515606798111872,2.427354569542703,594.016551076672,524.3567062200766,56.23333597567474,5.7151980256109765,3.568349557151386,2.259631627030631,2.71193642412718,1.5987478165430908,0.0,0.0,0.172719,7.831497089409814
100-1,584.0198144188889,15.812408394983056,2.0745967984436735,125.5620367059821,0.920157157499146,7.45644086052417,18.32142610516602,1.9751338262357538,752.1917466152513,718.789760949828,23.339967804925852,1.1885574375829229,0.7918689320388348,3.6337315149975984,4.139754677795824,2.283239124318147,0.0,0.0,0.172724,18.08779117967066
100-10,584.0198144188889,15.812408394983056,2.0745967984436735,125.5620367059821,0.920157157499146,7.45644086052417,18.32142610516602,1.9751338262357538,752.1917466152513,718.789760949828,23.339967804925852,1.1885574375829229,0.7918689320388348,3.6337315149975984,4.139754677795824,2.283239124318147,0.0,0.0,0.172724,18.08779117967066
100-11,584.0198144188889,15.812408394983056,2.0745967984436735,125.5620367059821,0.920157157499146,7.45644086052417,18.32142610516602,1.9751338262357538,752.1917466152513,718.789760949828,23.339967804925852,1.1885574375829229,0.7918689320388348,3.6337315149975984,4.139754677795824,2.283239124318147,0.0,0.0,0.172724,18.08779117967066
100-12,584.0198144188889,15.812408394983056,2.0745967984436735,125.5620367059821,0.920157157499146,7.45644086052417,18.32142610516602,1.9751338262357538,752.1917466152513,718.789760949828,23.339967804925852,1.1885574375829229,0.7918689320388348,3.6337315149975984,4.139754677795824,2.283239124318147,0.0,0.0,0.172724,18.08779117967066
100-13,584.0198144188889,15.812408394983056,2.0745967984436735,125.5620367059821,0.920157157499146,7.45644086052417,18.32142610516602,1.9751338262357538,752.1917466152513,718.789760949828,23.339967804925852,1.1885574375829229,0.7918689320388348,3.6337315149975984,4.139754677795824,2.283239124318147,0.0,0.0,0.172724,18.08779117967066
100-14,584.0198144188889,15.812408394983056,2.0745967984436735,125.5620367059821,0.920157157499146,7.45644086052417,18.32142610516602,1.9751338262357538,752.1917466152513,718.789760949828,23.339967804925852,1.1885574375829229,0.7918689320388348,3.6337315149975984,4.139754677795824,2.283239124318147,0.0,0.0,0.172724,18.08779117967066
100-15,584.0198144188889,15.812408394983056,2.0745967984436735,125.5620367059821,0.920157157499146,7.45644086052417,18.32142610516602,1.9751338262357538,752.1917466152513,718.789760949828,23.339967804925852,1.1885574375829229,0.7918689320388348,3.6337315149975984,4.139754677795824,2.283239124318147,0.0,0.0,0.172724,18.08779117967066
