ZONING_COD,StopID,Route,area_sq_mi
TR-U2,483,13,0.000462647
TR-U2,538,6,0.000462647
TR-U2,538,47,0.000462647
TR-U2,538,82,0.000462647
TR-U2,546,13,0.000233083
TR-U2,546,47,0.000233083
TR-U2,561,6,0.000462647
TR-U2,561,48,0.000462647
TR-U2,608,27,0.000462647
TR-U2,739,4,0.000396427
TR-U2,739,44,0.000396427
TR-U2,741,1,0.000462647
TR-U2,741,2,0.000462647
TR-U2,741,3,0.000462647
TR-U2,741,10,0.000462647
TR-U2,741,11,0.000462647
TR-U2,741,12,0.000462647
TR-U2,741,14,0.000462647
TR-U2,741,15,0.000462647
TR-U2,741,19,0.000462647
TR-U2,741,27,0.000462647
TR-U2,741,28,0.000462647
TR-U2,741,29,0.000462647
TR-U2,741,37,0.000462647
TR-U2,741,38,0.000462647
TR-U2,741,44,0.000462647
TR-U2,741,48,0.000462647
TR-U2,741,56,0.000462647
TR-U2,741,57,0.000462647
TR-U2,741,58,0.000462647
TR-U2,741,70,0.000462647
TR-U2,741,71,0.000462647
TR-U2,741,72,0.000462647
TR-U2,741,82,0.000462647
TR-U2,773,44,0.000462647
TR-U2,795,82,0.000462647
TR-U2,837,4,0.000462647
TR-U2,837,44,0.000462647
TR-U2,962,6,0.000462647
TR-U2,962,82,0.000462647
SR-C3,6140,15,0.002439259
SR-C3,6189,15,0.00354243
SR-C3,6531,15,0.003379571
SR-C3,6570,15,0.000180107
SR-C3,6588,15,0.00354243
SR-C3,6873,15,0.001692329
SR-C3,6972,15,0.00354243
TR-C1,3273,31,0.001934797
TR-C1,3487,31,0.003559996
TR-C1,3592,31,0.000984379
TR-C1,3645,31,0.003559996
TR-C1,3799,31,0.001992498
IL,9107,20,0.008212921
IL,9168,20,0.01122499
IL,9340,20,0.010963034
IL,9381,20,0.00749808
IL,9488,20,0.012058543
IL,9493,20,0.004972234
IL,9562,20,0.014253892
IL,9729,20,0.00388608
IL,9790,20,0.008479174
IL,9817,20,0.007115439
IL,5109,21,0.001319049
IL,5143,21,0.00713194
IL,5164,21,0.000982924
IL,5228,21,0.018438477
IL,5306,21,0.000954112
IL,5320,21,0.030012463
IL,5320,29,0.030012463
IL,5356,21,0.03216104
IL,5427,21,0.000270258
IL,5433,21,0.021308368
IL,5549,21,0.006589363
IL,5777,21,0.030959055
IL,5856,20,0.004247274
IL,5856,21,0.004247274
IL,5856,29,0.004247274
PD,7465,33,0.005804925
PD,7547,33,0.003166926
PD,7624,32,0.002688472
PD,7929,33,0.010051691
PD,9785,33,0.000678739
PD,7148,33,0.015741099
SR-C3,7306,39,0.000231145
SR-C3,7446,38,0.005938332
SR-C3,7527,35,0.004383641
SR-C3,7706,39,0.005938332
SR-C3,7990,39,0.003174119
TR-V2,1151,2,0.00047339
TR-V2,1151,5,0.00047339
TR-V2,1151,10,0.00047339
TR-V2,1151,28,0.00047339
TR-V2,1151,81,0.00047339
TR-V2,1209,2,0.00047339
TR-V2,1209,5,0.00047339
TR-V2,1209,10,0.00047339
TR-V2,1209,28,0.00047339
TR-V2,1521,81,0.00047339
TR-V2,1565,6,0.00047339
TR-V2,1565,14,0.00047339
TR-V2,1565,15,0.00047339
TR-V2,1565,27,0.00047339
TR-V2,1565,56,0.00047339
TR-V2,1636,2,0.00047339
TR-V2,1636,5,0.00047339
TR-V2,1636,10,0.00047339
TR-V2,1636,27,0.00047339
TR-V2,1636,28,0.00047339
TR-V2,1650,6,0.00047339
TR-V2,1650,14,0.00047339
TR-V2,1650,15,0.00047339
TR-V2,1650,27,0.00047339
TR-V2,1650,29,0.00047339
TR-V2,1650,37,0.00047339
TR-V2,1650,56,0.00047339
TR-V2,1650,57,0.00047339
TR-V2,1660,6,0.00047339
TR-V2,1660,14,0.00047339
TR-V2,1660,15,0.00047339
TR-V2,1660,27,0.00047339
TR-V2,1660,37,0.00047339
TR-V2,1660,56,0.00047339
TR-V2,1660,57,0.00047339
TR-V2,1834,2,0.00047339
TR-V2,1834,5,0.00047339
TR-V2,1834,10,0.00047339
TR-V2,1834,27,0.00047339
TR-V2,1834,28,0.00047339
TR-V2,1834,81,0.00047339
SR-V2,4100,4,0.00967866
SR-V2,4100,5,0.00967866
SR-V2,4100,13,0.00967866
SR-V2,4100,16,0.00967866
SR-V2,4100,18,0.00967866
SR-V2,4100,40,0.00967866
SR-V2,4100,44,0.00967866
SR-V2,4100,48,0.00967866
SR-V2,4100,49,0.00967866
SR-V2,173,4,0.009247814
SR-V2,173,18,0.009247814
SR-V2,173,40,0.009247814
SR-V2,475,5,0.00967866
SR-V2,475,13,0.00967866
SR-V2,475,44,0.00967866
SR-V2,475,48,0.00967866
SR-V2,590,4,0.009678268
SR-V2,590,40,0.009678268
SR-V2,703,5,0.004267033
SR-V2,703,44,0.004267033
SR-V2,730,5,0.004900077
SR-V2,730,44,0.004900077
SR-V2,906,5,0.00967866
SR-V2,906,13,0.00967866
SR-V2,906,44,0.00967866
UMX,161,1,0.000264657
UMX,161,10,0.000264657
UMX,161,19,0.000264657
UMX,161,38,0.000264657
UMX,161,82,0.000264657
UMX,168,5,0.000264657
UMX,168,27,0.000264657
UMX,168,47,0.000264657
UMX,168,75,0.000264657
UMX,235,5,0.000264657
UMX,235,27,0.000264657
UMX,274,5,0.000264657
UMX,274,27,0.000264657
UMX,274,47,0.000264657
UMX,274,75,0.000264657
UMX,313,10,0.000264657
UMX,313,19,0.000264657
UMX,313,38,0.000264657
UMX,313,82,0.000264657
UMX,473,5,0.000264657
UMX,473,27,0.000264657
UMX,473,47,0.000264657
UMX,473,75,0.000264657
UMX,512,5,0.000264657
UMX,512,27,0.000264657
UMX,512,47,0.000264657
UMX,512,75,0.000264657
UMX,520,10,0.000264657
UMX,520,19,0.000264657
UMX,520,38,0.000264657
UMX,520,82,0.000264657
UMX,544,11,0.000264657
UMX,544,12,0.000264657
UMX,564,1,0.000264657
UMX,564,11,0.000264657
UMX,564,12,0.000264657
UMX,564,19,0.000264657
UMX,564,38,0.000264657
UMX,593,1,0.00010105
UMX,593,10,0.00010105
UMX,593,19,0.00010105
UMX,593,38,0.00010105
UMX,593,82,0.00010105
UMX,668,1,0.000264657
UMX,668,12,0.000264657
UMX,668,19,0.000264657
UMX,668,38,0.000264657
UMX,710,1,0.000264657
UMX,710,10,0.000264657
UMX,710,19,0.000264657
UMX,710,38,0.000264657
UMX,710,82,0.000264657
UMX,791,11,0.000264657
UMX,791,12,0.000264657
UMX,791,19,0.000264657
UMX,791,38,0.000264657
UMX,883,2,0.000118983
UMX,883,3,0.000118983
UMX,883,4,0.000118983
UMX,883,6,0.000118983
UMX,883,11,0.000118983
UMX,883,12,0.000118983
UMX,883,14,0.000118983
UMX,883,15,0.000118983
UMX,883,29,0.000118983
UMX,883,37,0.000118983
UMX,883,47,0.000118983
UMX,883,56,0.000118983
UMX,883,57,0.000118983
UMX,883,58,0.000118983
UMX,883,71,0.000118983
UMX,883,72,0.000118983
UMX,965,1,0.000264657
UMX,965,10,0.000264657
UMX,965,19,0.000264657
UMX,965,38,0.000264657
UMX,965,82,0.000264657
UMX,989,5,0.000264657
UMX,989,27,0.000264657
UMX,989,47,0.000264657
UMX,989,75,0.000264657
UMX,1163,5,0.000264657
UMX,1163,27,0.000264657
UMX,1163,47,0.000264657
UMX,1558,2,6.13075E-07
UMX,1558,3,6.13075E-07
UMX,1558,4,6.13075E-07
UMX,1558,6,6.13075E-07
UMX,1558,11,6.13075E-07
UMX,1558,12,6.13075E-07
UMX,1558,14,6.13075E-07
UMX,1558,15,6.13075E-07
UMX,1558,37,6.13075E-07
UMX,1558,47,6.13075E-07
UMX,1558,56,6.13075E-07
UMX,1558,57,6.13075E-07
UMX,1558,58,6.13075E-07
UMX,1558,70,6.13075E-07
UMX,1558,71,6.13075E-07
UMX,1558,72,6.13075E-07
UMX,1790,5,0.000264657
UMX,1790,27,0.000264657
UMX,1790,47,0.000264657
UMX,1790,75,0.000264657
PD,1150,3,0.000939886
PD,1150,4,0.000939886
PD,1150,38,0.000939886
PD,1214,6,0.000939886
PD,1214,14,0.000939886
PD,1214,15,0.000939886
PD,1214,25,0.000939886
PD,1214,27,0.000939886
PD,1214,37,0.000939886
PD,1214,56,0.000939886
PD,1214,57,0.000939886
PD,1230,3,0.000939886
PD,1230,4,0.000939886
PD,1230,38,0.000939886
PD,1230,56,0.000939886
PD,1230,57,0.000939886
PD,1323,6,0.000939886
PD,1323,14,0.000939886
PD,1323,15,0.000939886
PD,1323,25,0.000939886
